id,osmID,X,Y
1,342481779,293268808.3276428,11908061.013785362
2,5119320142,293267026.9139787,11892832.850228352
3,3061855892,293266558.7587229,11889250.435456146
4,342429340,293468158.9130189,12301343.146779649
5,1214525104,293469051.8521989,12297937.182284053
6,1214525337,293471437.2754369,12295030.429451054
7,3447340519,293476550.6278698,12290718.801406061
8,348422086,293482677.466272,12285753.547424193
9,3065980716,293497214.5161224,12273042.51691959
10,3065980714,293497976.0656802,12272400.873372056
11,1165759201,293499597.3881056,12271104.314426817
12,292787120,293177578.0072496,13188889.19874534
13,3096662103,293161739.81745124,13227944.60110339
14,345802357,293077098.7503927,11425594.514481364
15,918722271,293077440.6185359,11424381.15945091
16,918722474,293077598.1585198,11422928.978341147
17,2045678774,293077489.73019075,11421591.66852555
18,345802356,293076734.55877,11419589.164174214
19,342763675,292735907.3275284,13872279.665961344
20,2544057675,292733762.36005527,13874376.718016785
21,3657439594,292731663.9529823,13876586.073545113
22,3657439597,292726494.4729438,13882032.519066256
23,3114561908,292725001.98888576,13883605.444816953
24,292788007,293011231.09178,13387281.88715698
25,3063604077,293010992.54945624,13387550.176518619
26,3063604079,293010180.6126161,13388461.379697122
27,4526941488,293009970.1340951,13388769.57033677
28,2451259797,293007656.7838052,13392144.67348242
29,3600104127,293002059.9685877,13402213.852412125
30,292788005,293000895.9585852,13404298.785811817
31,2457071619,292995947.7999006,13412605.152398884
32,919805169,292994221.8760284,13415584.361561036
33,919805092,292990688.38813037,13421693.703180693
34,3341155787,292989720.8247475,13423362.817585036
35,3341155790,292986286.8357867,13429289.600757193
36,2425722506,292984262.4151029,13432784.5829218
37,919805464,292983653.9408331,13433905.403758097
38,3063604083,292975142.3170066,13448858.179008828
39,364167715,292970716.52774227,13456265.495686859
40,299238127,293597439.9231267,12353163.46024405
41,1011785539,293605029.9061567,12351040.54439156
42,299238151,293640616.7215482,12103099.03990662
43,5124118269,293641394.21644855,12107010.539224481
44,3982650652,293641706.7451615,12108584.100241132
45,348422426,293649289.0744271,12146560.682036575
46,299238180,293809789.1517088,12491207.736405214
47,2984157033,293808586.2350706,12491221.648290528
48,5216794127,293807426.0519503,12491124.265706945
49,5216794133,293804731.2890678,12490901.68232064
50,5216719181,293787876.42423165,12489506.069491263
51,299238178,293766389.1184923,12488412.040468872
52,341363694,293746351.5632931,11826669.000246635
53,2984749735,293744823.3616679,11825338.87511715
54,344371137,293736556.0204885,11819193.107842086
55,3945984958,293732364.9466658,11816016.551332565
56,341368218,293729571.9604735,11813940.871408606
57,341370081,293610057.7915538,11838595.304078387
58,4432495772,293609645.76390356,11838908.501458725
59,5034290775,293594062.0617715,11851122.031183476
60,343723862,293578387.15228033,11863429.665766928
61,341372856,293402476.8581929,12120889.958450774
62,1214525124,293398975.89879364,12123197.237391895
63,360933293,293396932.3436988,12124820.707703138
64,343723008,293482820.9743545,11671151.777896442
65,5275997243,293482755.9173571,11675168.900913557
66,343723009,293483121.3846072,11679434.73288506
67,5223218634,293483917.37610483,11684867.906549023
68,2956333175,293485075.0079703,11691136.10932635
69,347065489,293485434.0970834,11693097.926314147
70,341800503,293623397.6650893,11909955.825631522
71,618548737,293622543.632545,11910595.33982916
72,3961032558,293614949.82263285,11915858.255030729
73,2457774132,293607919.8400314,11921495.62176267
74,343723844,293591235.27145314,11934754.74729051
75,341802010,293409725.6108934,12161588.497500781
76,3066045178,293410587.9350158,12160908.98978655
77,341820315,293424093.0022996,12149911.946682684
78,1622368360,293372463.25891197,11470181.733308207
79,2138721595,293372141.8008072,11471584.463167625
80,2138721597,293371603.4860444,11473930.959606206
81,2942559761,293363114.1856974,11511078.374878906
82,3030276781,293361973.1369881,11516086.319418844
83,341806872,293360013.13548803,11524713.304625541
84,2050925971,293229277.9101442,11437264.963839274
85,3122070427,293231024.2440548,11435331.016457597
86,3122070426,293231563.834445,11434669.999285927
87,362501810,293234690.39720243,11431148.30885976
88,3127679917,293243472.4540377,11421461.309860215
89,344265873,293245122.4780796,11419676.04547881
90,359484145,293345942.3274523,11749234.132717691
91,1526991234,293348577.13584703,11745694.687755557
92,341812795,293349432.4440187,11744515.288777651
93,1019382309,293355519.1001578,11756185.767998205
94,341812797,293356998.1901281,11758926.90517949
95,1214525391,293361591.7243955,11762396.46944751
96,1526990937,293362656.8732745,11764283.670758033
97,341814753,293364827.9911093,11768798.070802687
98,1063532674,293365630.3607439,11770464.448420538
99,348422398,293367002.2980126,11773288.460546922
100,1857173500,293374006.1302523,11788229.563951937
101,344261542,293383741.7185691,11809054.782303933
102,343237255,293469265.5197884,11824199.877455031
103,4298881896,293475135.3192695,11819899.447281389
104,3940007770,293498210.7811218,11803015.958248997
105,343237278,293504550.0114861,11798085.614556387
106,3844160776,293509022.3611505,11795054.809067037
107,3844160774,293509442.0425651,11794743.660095252
108,3844160773,293512685.9630433,11792330.137147825
109,4341138105,293513730.06407017,11791553.652406065
110,4341138103,293521122.9626669,11786060.303391172
111,343235965,293525030.2093931,11783160.017141769
112,3997945777,293530133.9946205,11779496.321145149
113,3997945767,293534512.585671,11776355.227241233
114,3783780190,293535573.2698541,11775595.170940747
115,2571182874,293539273.8649415,11772942.938885331
116,3997945759,293543589.9502494,11769794.518870452
117,3997944856,293547381.7526959,11767032.288507106
118,343723902,293558537.1143089,11758906.134765381
119,1180490889,293561923.2672422,11756702.760191789
120,3761814919,293565917.8944453,11753759.137850096
121,1180491092,293570878.8094039,11750107.359355347
122,1180490593,293575131.7511555,11746977.960774185
123,344242170,293575834.62185293,11746324.891240856
